Join_Count,TARGET_FID,SOURCE_ID,rest_per_100ch,Loc_CODE,LOC_NAME,LMiIndex,LMiZScore,LMiPValue,COType,NNeighbors,ZTransform,SpatialLag,STATEFP,Shape_Length,Shape_Area
1,1,1,0.0000000,12,Midsize City,0.012598193678605,3.164749807453652,0.002000000000000,LL,59294,-0.271019240990993,-0.046485045747737,01,8512.759369114497531,4337829.946372297592461
2,2,2,0.0000000,12,Midsize City,0.012986944570316,2.916139157303054,0.002000000000000,LL,59383,-0.271019240990993,-0.047919465907220,01,8365.285346284574189,2814555.266377808991820
3,3,3,8.3333340,12,Midsize City,-0.096205360339351,-2.680669667804404,0.002000000000000,HL,59084,3.250398806357037,-0.029598365404735,01,15315.079162120347974,11355226.215060580521822
2,4,4,0.0000000,32,Distant Town,0.011184231215529,6.545515519796623,0.002000000000000,LL,57886,-0.271019240990993,-0.041267781157392,01,22374.554442331871542,29060095.367926254868507
3,5,5,0.0000000,12,Midsize City,0.015381022085811,5.134460822657335,0.002000000000000,LL,53206,-0.271019240990993,-0.056753176966957,01,10749.134588850176442,4737048.230689901858568
2,6,6,0.0000000,12,Midsize City,0.016502863762614,3.316218324959657,0.002000000000000,LL,53095,-0.271019240990993,-0.060892568930460,01,6118.791863552536597,2088430.420166504103690
1,7,7,0.0000000,12,Midsize City,0.015291726266678,3.015787451045845,0.002000000000000,LL,53110,-0.271019240990993,-0.056423691618231,01,7464.744730797274315,2425012.639943285845220
1,8,8,0.0000000,21,Large Suburban,0.015373421181635,4.842426522921891,0.002000000000000,LL,52726,-0.271019240990993,-0.056725131011530,01,7495.941816795892009,2406156.993358520790935
1,9,9,0.0000000,12,Midsize City,0.011619035783572,1.986808252352891,0.004000000000000,LL,53084,-0.271019240990993,-0.042872131015194,01,3402.244445501125938,741374.649465820519254
1,10,10,0.0000000,21,Large Suburban,0.016110541474949,3.052814806800046,0.002000000000000,LL,52986,-0.271019240990993,-0.059444970968783,01,6384.396925019833361,2037025.663703403668478
1,11,11,0.0000000,12,Midsize City,0.013076706857244,3.022953729403563,0.002000000000000,LL,53328,-0.271019240990993,-0.048250672437353,01,9347.151430824680574,4700870.977423522621393
1,12,12,0.0000000,13,Small City,0.014089683735545,2.294840890713624,0.002000000000000,LL,58687,-0.271019240990993,-0.051988373073690,01,6804.109094128811194,2562259.510241571813822
3,13,13,0.0000000,31,Fringe Town,0.012174406033732,7.500234025775184,0.002000000000000,LL,58076,-0.271019240990993,-0.044921346334804,01,89149.570241253808490,213298670.086635828018188
3,14,14,0.0000000,12,Midsize City,0.015291033480317,3.562630123469297,0.002000000000000,LL,51647,-0.271019240990993,-0.056421135362430,01,6544.596126110534897,1713731.142362909391522
2,15,15,0.0000000,42,Distant Rural,0.016670802619762,12.093942724547208,0.002000000000000,LL,49780,-0.271019240990993,-0.061512232801053,01,101172.126530488501885,274556275.831221401691437
3,16,16,0.0000000,41,Fringe Rural,0.014322545099462,10.821859528380639,0.002000000000000,LL,46920,-0.271019240990993,-0.052847589198693,01,95975.792736807270558,331076747.309356153011322
2,17,17,0.0000000,43,Remote Rural,0.017253355306429,12.689033388979151,0.002000000000000,LL,49533,-0.271019240990993,-0.063661746372683,01,145638.268474887037883,546582068.236829400062561
2,18,18,0.0000000,42,Distant Rural,0.015472286542456,10.692882985477553,0.002000000000000,LL,52999,-0.271019240990993,-0.057089926230422,01,143883.286573534656782,457372694.841221153736115
1,19,19,0.0000000,42,Distant Rural,0.013430879585200,7.228002201044669,0.002000000000000,LL,57961,-0.271019240990993,-0.049557505454981,01,107705.082240289411857,228622487.592004448175430
